id,age,income,total_transactions,total_amount_spent,offers_received,offers_viewed,offers_completed,cluster,cluster_name
0610b486422d4921ae7d2bf64640c50b,55.0,112000.0,3.0,77.01,2.0,0.0,2.0,3,Affluent Moderates
78afa995795e4d85b5d9ceeca43f5fef,75.0,100000.0,7.0,159.27,4.0,4.0,6.0,3,Affluent Moderates
e2127556f4f64592b11af22de27a7932,68.0,70000.0,3.0,57.730000000000004,4.0,3.0,4.0,3,Affluent Moderates
389bc3fa690240e798340f5a15918d5c,65.0,53000.0,3.0,36.43,6.0,6.0,10.0,1,High-Value Loyalists
2eeac8d8feae4a8cad5a6af0499a211d,58.0,51000.0,4.0,15.62,3.0,2.0,2.0,2,Low-Spend Infrequent Users
aa4862eba776480b8bb9c68455b8c2e1,61.0,57000.0,6.0,85.55,5.0,5.0,6.0,0,Low-Engagement Customers
e12aeaf2d47d42479ea1c4ac3d8286c6,26.0,46000.0,11.0,56.22,6.0,1.0,2.0,4,Frequent Low-Spenders
31dda685af34476cad5bc968bdb01c53,62.0,71000.0,8.0,160.25,6.0,5.0,8.0,1,High-Value Loyalists
62cf5e10845442329191fc246e7bcea3,49.0,52000.0,9.0,144.10999999999999,3.0,2.0,2.0,2,Low-Spend Infrequent Users
6445de3b47274c759400cd68131d91b4,57.0,42000.0,6.0,19.1,5.0,1.0,4.0,2,Low-Spend Infrequent Users
a448667f336b42c9a66fc5ffd5d73772,61.0,40000.0,7.0,20.78,3.0,2.0,0.0,2,Low-Spend Infrequent Users
440cf1fd7580490c971d8c651ed962af,40.0,71000.0,16.0,300.68,5.0,4.0,10.0,1,High-Value Loyalists
4b0da7e80e5945209a1fdddfe813dbe0,64.0,100000.0,7.0,211.29000000000002,5.0,4.0,6.0,1,High-Value Loyalists
c27e0d6ab72c455a8bb66d980963de60,78.0,71000.0,8.0,155.46,6.0,6.0,2.0,0,Low-Engagement Customers
f806632c011441378d4646567f357a21,42.0,69000.0,5.0,91.4,4.0,4.0,6.0,0,Low-Engagement Customers
d058f73bf8674a26a95227db098147b1,56.0,88000.0,3.0,75.62,6.0,6.0,8.0,1,High-Value Loyalists
c6c9884912c645429f3333f912b55f44,33.0,52000.0,9.0,17.9,6.0,3.0,2.0,0,Low-Engagement Customers
7429a044884842d6862f516c38b1156f,46.0,59000.0,1.0,2.88,4.0,1.0,0.0,2,Low-Spend Infrequent Users
ebe7ef46ea6f4963a7dd49f501b26779,59.0,41000.0,13.0,52.08,6.0,5.0,4.0,4,Frequent Low-Spenders
